review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
1316648783,4,3.5,3.5,jtierney89,Pumpkin Ale,4,3.5,Pumking,8.6,38394
1250435111,4,4.5,4,Jayli,Smoked Beer,4,4,Smoke Ale,6,357
1246662872,2.5,3.5,3,tronester,Fruit / Vegetable Beer,3,3,Purple Haze,4.2,7
1290568685,3,3,4,cheMan,Winter Warmer,1.5,1.5,Harpoon Winter Warmer,5.5,310
1324257076,4.5,4.5,3,BogusOwnz,American Double / Imperial Stout,4.5,5,Rare Bourbon County Stout,13,62397
1294731868,4,4.5,4,nickfl,Rauchbier,4,4,Aecht Schlenkerla Rauchbier Urbock,6.6,1324
1201208723,3.5,3,3.5,mmmbeer,Munich Dunkel Lager,3.5,3,Dark Beer / Kláster Tmavé 10%,4,5346
1242431949,3.5,3.5,3.5,meatmallet,American Blonde Ale,4,4,Third Coast Beer,4.8,3811
1297559365,4,4.5,4.5,steve8robin,Old Ale,4,4,Warmer Winter Winter Warmer,10,46367
1281145096,4.5,4,4,nerdrocker101,Russian Imperial Stout,4,4.5,Plead The 5th Imperial Stout,12,45073
1309116786,2,3,4,largadeer,American Porter,2,2,Blacksox Porter,6.5,70439
1266884700,4,4,4,mdfb79,American Strong Ale,4,4.5,The Angel's Share - Bourbon Barrel-Aged,12.5,32413
1092096556,3.5,4,3.5,Gusler,English Barleywine,4,3.5,Horn Dog Barley Wine Style Ale,10.5,2678
1313816527,3,3.5,3.5,DaveHS,American IPA,3.5,3.5,Xbeeriment Madraz IPA,,70592
1194999542,3.5,3.5,4,doppler,English Porter,3.5,3.5,"Samuel Smith's, The Famous Taddy Porter",5,572
1231519483,4.5,4,3.5,Gouxman,Winter Warmer,4,4.5,Winter Solstice Seasonal Ale,6.9,2081
1239449406,4,3,4.5,caminiti,American Double / Imperial Stout,4,4,Coffee Stout (Brewmaster Series),8,47454
1110069282,4.5,4,4,wnhay,Doppelbock,4,4.5,Weltenburger Kloster Asam-Bock,6.9,3606
1149023454,3,3,3,MattBrooks,American Blonde Ale,3,3,Pete's Wicked Rally Cap Ale,5,16924
1198357898,4,4,4,scoobybrew,English India Pale Ale (IPA),3.5,4,India Pale Ale,5.9,3968
1159917600,4.5,4.5,4.5,JRMluvsbeer,Dortmunder / Export Lager,4,4,Great Lakes Dortmunder Gold,5.8,228
1319680185,4.5,5,4,GregSVT,Quadrupel (Quad),4,4.5,Trappistes Rochefort 10,11.3,645
1272020966,5,4.5,5,brendan13,American Double / Imperial Stout,4.5,4.5,Beer Geek Breakfast,7.5,28877
1176556348,3.5,3.5,4,jwc215,American Pale Ale (APA),3.5,3.5,Stone Pale Ale,5.4,87
1111998989,4,4,4.5,bootylicious,Herbed / Spiced Beer,4,4.5,Juniper Pale Ale,5.3,702
1159158145,4,3.5,4,russpowell,American Amber / Red Ale,3.5,3.5,Redemption Red Ale,6.6,5469
1183179007,3.5,3.5,4.5,Mebuzzard,Belgian Strong Pale Ale,3.5,3.5,Hades Ale,7.8,37216
1108528056,4.5,4.5,4,alexgash,Altbier,4,4.5,Double Bag,7.2,273
1316224225,4,4,3.5,SMILLIE,American Porter,4,4,Odell Cutthroat Porter,5.1,738
1274038124,4,3.5,3.5,BeerFMAndy,American Black Ale,3.5,3.5,Terrapin Capt'n Krunkles Black IPA,7.5,56890
1317261412,3.5,4,4,beer2day,American Double / Imperial IPA,4,3.5,Left Coast Hop Juice,9.7,38515
1291340004,4,4,4.5,BiomedHawk,American Stout,4.5,4.5,Sierra Nevada Stout,5.8,283
1126312040,2,2.5,2,RedDiamond,American Blonde Ale,2,2,Lawnmower Lite,5.1,25765
1312069599,4.5,4.5,4,Viciousknishs,Flanders Oud Bruin,4,4.5,Collaboration Series: Marrón Acidifié,8.5,65862
1227235040,4.5,2.5,4,ludachris,Irish Red Ale,3.5,3,Kilkenny Irish Cream Ale,4.3,3628
1170186127,4,4,4,beerphilosopher,Russian Imperial Stout,4,4.5,Schlafly Reserve - Imperial Stout,10.5,33894
1289071369,3.5,3.5,3.5,HopHead84,American Double / Imperial Stout,4,3.5,Alesmith Speedway Stout - Madagascar Organic Fair Trade Cocoa Nibs Speedway,12,63212
1251155416,4,2,4,crossovert,American Amber / Red Ale,3.5,3,Fat Tire Amber Ale,5.2,607
1283132263,4.5,4.5,4,Daniellobo,American Double / Imperial IPA,4,4,Double Simcoe IPA,9,30288
1273490530,4,3.5,4,Deuane,English Bitter,4,3.5,Green Man Pub Ale,3.9,58207
1168824956,4,5,4.5,montageman,Russian Imperial Stout,4.5,5,Great Lakes Barrel-Aged Blackout Stout,9.5,27143
1036410537,4.5,4,4,beernut7,American Amber / Red Ale,4,4.5,Lobster Ale,5,2532
1266179758,4.5,4,3.5,morimech,Doppelbock,3.5,4,Troegenator Double Bock,8.2,4109
1248308137,3,4,4.5,BamaBeerBuff,Belgian Pale Ale,4,3,Orval Trappist Ale,6.9,129
1283880823,4.5,4.5,4,earthboundagain,Hefeweizen,4,4,DreamWeaver Wheat,4.8,18305
1222127457,4.5,4.5,4.5,atsprings,Belgian IPA,5,4.5,Stone 08.08.08 Vertical Epic Ale,8.6,44138
1110678344,4,4,3,LPorter33,Witbier,3,3.5,Samuel Adams White Ale,5.2,8297
1268443929,4.5,4,4,Parrotbeak,Doppelbock,4.5,4.5,Ayinger Celebrator Doppelbock,6.7,131
1311376943,4,4.5,5,Janderson91,Baltic Porter,3,4,Gonzo Imperial Porter,9.2,24071
1058169438,4,3,3,yidbeer,Märzen / Oktoberfest,4,4,Deep Forbidden Lake Lager,,11217
1078626073,3,4,4,jsolack,American Strong Ale,4,3.5,Dark Horse Reserve Special Black Bier Ale,7.5,3877
1305939608,4.5,4,4,Slatetank,Tripel,4,4.5,Fluffy White Rabbits,8.5,57088
1320903684,4.5,4.5,4.5,Duhast500,Belgian Pale Ale,4.5,4.5,Orval Trappist Ale,6.9,129
1075944835,3,4,4,AudioGilz,Belgian IPA,4,4,Piraat Ale,10.5,156
1146185475,2.5,3.5,3.5,Bighuge,Witbier,3,2,Leinenkugel's Sunset Wheat,4.9,29015
1174187677,4,4,3.5,bashiba,Chile Beer,3.5,4,Chipotle Ale,5.5,354
1255654822,3.5,4,4.5,drtth,American IPA,4,3.5,Sierra Nevada Estate Brewers Harvest Ale,6.7,52371
1190167328,3.5,4,4,EPICAC,Weizenbock,4,4,Schneider-Brooklyner Hopfen-Weisse,8.2,37774
1236663040,4,3.5,4.5,RblWthACoz,Belgian Dark Ale,3.5,3.5,Valeir Donker,6.5,28264
1311377975,4,4,3.5,OldIronLungs,Cream Ale,4,4,Sweet Action,5.2,22193
1230697482,3.5,3.5,3.5,kwakwhore,Doppelbock,3,3,La Tabachéra,10,17087
1195854813,4,3.5,3.5,plaid75,American IPA,3.5,4,Heavy Handed IPA,6.7,1965
